bizdate,daypower,totalpower
20160101,62772.25,4880027.93
20160102,57541.08,4937569.01
20160103,59310.25,4996879.26
20160104,66894.98,5063774.24
20160105,71019.66,5134793.9
20160106,71594.05,5206387.95
20160107,73603.99,5279991.94
20160108,74879.11,5354871.05
20160109,71542.07,5426413.12
20160110,65342.91,5491756.03
20160111,80590.87,5572346.9
20160112,76975.8,5649322.7
20160113,80199.67,5729522.37
20160114,81418.7,5810941.07
20160115,80209.81,5891150.88
20160116,73665.06,5964815.94
20160117,71985.58,6036801.52
20160118,84269.48,6121071
20160119,85857.78,6206928.78
20160120,89582.89,6296511.67
20160121,86539.46,6383051.13
20160122,97132.02,6480183.15
20160123,86261.01,6566444.16
20160124,95886.73,6662330.89
20160125,99692.81,6762023.7
20160126,101848.15,6863871.85
20160127,97746.48,6961618.33
20160128,99226.28,7060844.61
20160129,102525.77,7163370.38
20160130,100377,7263747.38
20160131,99276.25,7363023.63
20160201,101439.15,7464462.78
20160202,105933.91,7570396.69
20160203,103325.53,7673722.22
20160204,98448.2,7772170.42
20160205,91858.11,7864028.53
20160206,86998.88,7951027.41
20160207,64697.25,8015724.66
20160208,53428.85,8069153.51
20160209,60651.55,8129805.06
20160210,70259.26,8200064.32
20160211,75233.5,8275297.82
20160212,75693.93,8350991.75
20160213,85254.6,8436246.35
20160214,102424.59,8538670.94
20160215,97853.55,8636524.49
20160216,104011.26,8740535.75
20160217,101660.85,8842196.6
20160218,104859.98,8947056.58
20160219,104139.21,9051195.79
20160220,106997.22,9158193.01
20160221,103704.86,9261897.87
20160222,115768.35,9377666.22
20160223,123603.35,9501269.57
20160224,127297.18,9628566.75
20160225,125292.77,9753859.52
20160226,128232.4,9882091.92
20160227,122086.57,10004178.49
20160228,117003.82,10121182.31
20160229,130708.58,10251890.89
20160301,147344.52,10399235.41
20160302,146775.14,10546010.55
20160303,142855.04,10688865.59
20160304,143533.42,10832399.01
20160305,137325.35,10969724.36
20160306,132554.16,11102278.52
20160307,143509.53,11245788.05
20160308,151308.17,11397096.22
20160309,168349.08,11565445.3
20160310,171031.96,11736477.26
20160311,165951.87,11902429.13
20160312,153567.51,12055996.64
20160313,146052.9,12202049.54
20160314,160245.64,12362295.18
20160315,160468.9,12522764.08
20160316,161561.19,12684325.27
20160317,167460.33,12851785.6
20160318,167242.61,13019028.21
20160319,155009.21,13174037.42
20160320,156740.54,13330777.96
20160321,163474.78,13494252.74
20160322,168031.36,13662284.1
20160323,181204.59,13843488.69
20160324,186424.66,14029913.35
20160325,184634.56,14214547.91
20160326,182363.39,14396911.3
20160327,180284.88,14577196.18
20160328,191656.07,14768852.25
20160329,195018.33,14963870.58
20160330,197610.48,15161481.06
20160331,204657.79,15366138.85
20160401,208612.88,15574751.73
20160402,210340.51,15785092.24
20160403,207002.05,15992094.29
20160404,199080.26,16191174.55
20160405,211632.16,16402806.71
20160406,227570.21,16630376.92
20160407,231875.55,16862252.47
20160408,228708.59,17090961.06
20160409,223292.91,17314253.97
20160410,214677.06,17528931.03
20160411,223693.48,17752624.51
20160412,223260.06,17975884.57
20160413,230169.63,18206054.2
20160414,223276.01,18429330.21
20160415,229811.05,18659141.26
20160416,204066.08,18863207.34
20160417,228415,19091622.34
20160418,241174.93,19332797.27
20160419,247339.84,19580137.11
20160420,252992.43,19833129.54
20160421,249763.77,20082893.31
20160422,254402.88,20337296.19
20160423,250955.5,20588251.69
20160424,240187.09,20828438.78
20160425,249784.44,21078223.22
20160426,252343.33,21330566.55
20160427,251211.68,21581778.23
20160428,256906.89,21838685.12
20160429,256466.12,22095151.24
20160430,245849.82,22341001.06
20160501,246670.18,22587671.24
20160502,240886.75,22828557.99
20160503,257770.19,23086328.18
20160504,253331.48,23339659.66
20160505,257054.34,23596714
